id,name,lat,lon
3793,Rio Grande & 28th,30.29333,-97.7441
3291,11th & San Jacinto,30.27193,-97.7385
4058,Hollow Creek & Barton Hills,30.26139,-97.7723
3797,21st & University,30.28354,-97.7395
2546,ACC - West & 12th Street,30.27624,-97.7483
3838,Nueces & 26th,30.29068,-97.7429
2544,East 6th & Pedernales St.,30.25895,-97.7148
3390,Brazos & 6th,30.26754,-97.7415
1008,Nueces @ 3rd,30.26694,-97.7494
2823,Capital Metro HQ - East 5th at Broadway,30.2563,-97.7101
2550,Republic Square @ Guadalupe & 4th St.,30.26774,-97.7469
2538,Bullock Museum @ Congress & MLK,30.28039,-97.7381
2711,Barton Springs @ Kinney Ave,30.262,-97.7612
3685,Henderson & 9th,30.27217,-97.7525
4052,Rosewood & Angelina,30.26888,-97.7243
3621,Nueces & 3rd,30.26697,-97.7493
3686,Sterzing at Barton Springs,30.26406,-97.7639
3684,Congress & Cesar Chavez,30.26332,-97.7451
4055,11th & Salina,30.26638,-97.7214
2566,Pfluger Bridge @ W 2nd Street,30.26717,-97.7548
4059,Nash Hernandez @ RBJ South,30.25189,-97.7332
3635,13th & San Antonio,30.27616,-97.7449
3513,South Congress & Barton Springs at the Austin American-Statesman,30.25839,-97.7459
1002,6th & Navasota St.,30.26383,-97.7286
2541,State Capitol @ 14th & Colorado,30.27654,-97.7416
4050,5th & Campbell,30.27489,-97.7648
2499,City Hall / Lavaca & 2nd,30.26476,-97.7468
2568,East 11th St. at Victory Grill,30.26896,-97.7284
2575,Riverside @ S. Lamar,30.26446,-97.7567
2502,Barton Springs & Riverside,30.2587,-97.7487
2563,Davis at Rainey Street,30.26019,-97.7385
4061,Lakeshore @ Austin Hostel,30.24472,-97.7234
2707,Rainey St @ Cummings,30.25579,-97.7398
2545,ACC - Rio Grande & 12th,30.27595,-97.7474
2549,Long Center @ South 1st & Riverside,30.25941,-97.7497
2561,State Capitol Visitors Garage @ San Jacinto & 12th,30.27336,-97.7381
2494,2nd & Congress,30.26408,-97.7436
3464,Pease Park,30.28118,-97.7522
2570,South Congress & Academy,30.25226,-97.7485
2540,17th & Guadalupe,30.27974,-97.7425
2498,Convention Center / 4th St. @ MetroRail,30.26483,-97.739
3794,Dean Keeton & Speedway,30.28953,-97.737
2547,Guadalupe & 21st,30.28395,-97.742
2712,Toomey Rd @ South Lamar,30.26304,-97.7582
2501,5th & Bowie,30.2696,-97.7533
2572,Barton Springs Pool,30.26452,-97.7712
2576,Rainey @ River St,30.25802,-97.7391
2567,Palmer Auditorium,30.25971,-97.7535
3381,East 7th & Pleasant Valley,30.26025,-97.71
1006,Zilker Park West,30.26587,-97.7683
3799,23rd & San Jacinto @ DKR Stadium,30.2856,-97.7335
3660,Medina & East 6th,30.26455,-97.7317
3791,Lake Austin & Enfield,30.29439,-97.7838
4057,6th & Chalmers,30.26269,-97.7244
2537,West & 6th St.,30.27041,-97.7505
2503,South Congress & James,30.25103,-97.7493
3792,22nd & Pearl,30.2853,-97.7467
3293,East 2nd & Pedernales,30.25542,-97.7167
4062,Lakeshore & Pleasant Valley,30.24258,-97.7173
2571,Red River & 8th Street,30.26854,-97.7365
3798,21st & Speedway @PCL,30.283,-97.7375
2548,UT West Mall @ Guadalupe,30.28576,-97.7418
3795,Dean Keeton & Whitis,30.2898,-97.7404
2500,Republic Square,30.26751,-97.748
2542,Plaza Saltillo,30.26217,-97.7274
3619,6th & Congress,30.26822,-97.7429
4048,South Congress @ Bouldin Creek,30.25495,-97.7476
3790,Lake Austin Blvd @ Deep Eddy,30.27807,-97.7727
2536,Waller & 6th St.,30.26461,-97.7305
2495,4th & Congress,30.26634,-97.7438
1007,Lavaca & 6th,30.26889,-97.7453
3841,23rd & Rio Grande,30.28728,-97.745
2562,San Jacinto & 8th Street,30.26912,-97.7399
2822,East 6th at Robert Martinez,30.26032,-97.719
4047,8th & Lavaca,30.27059,-97.7444
3292,East 4th & Chicon,30.25987,-97.7237
2497,Capitol Station / Congress & 11th,30.2726,-97.7413
3377,MoPac Pedestrian Bridge @ Veterans Drive,30.27466,-97.7703
3687,Boardwalk West,30.25457,-97.7426
1003,8th & Guadalupe,30.27106,-97.7456
2504,South Congress & Elizabeth,30.24891,-97.7502
1001,OFFICE/Main/Shop/Repair,30.27186,-97.74
2574,Zilker Park,30.2659,-97.7682
2569,East 11th St. & San Marcos,30.26968,-97.7307
2539,Convention Center / 3rd & Trinity,30.26426,-97.7402
3294,Lavaca & 6th,30.26911,-97.7462
2496,8th & Congress,30.2698,-97.7419
2564,5th & San Marcos,30.26416,-97.7329
2565,Trinity & 6th Street,30.26735,-97.7393
4054,Rosewood & Chicon,30.26969,-97.7187
1004,Red River & LBJ Library,30.2848,-97.7276
2552,3rd & West,30.2678,-97.7519
3455,Republic Square @ 5th & Guadalupe,30.26753,-97.7481
1005,State Parking Garage @ Brazos & 18th,30.27907,-97.7372
4060,Red River/Cesar Chavez @ The Fairmont,30.26212,-97.7382
4051,10th & Red River,30.27024,-97.7358
